epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,3978.34,1.34741,1.00059,1.33944,0.86348,0.76137,0.84491,0.52036,1.30052,0.8794,1.31195,0.007921,0.007921,0.007921
65,4031.66,1.35783,1.00799,1.34174,0.88293,0.77127,0.85896,0.53571,1.29028,0.83956,1.29142,0.007888,0.007888,0.007888
66,4085.44,1.33667,0.99378,1.32749,0.87464,0.794,0.86036,0.53018,1.28772,0.84124,1.29462,0.007855,0.007855,0.007855
67,4138.19,1.33516,1.00137,1.32199,0.85491,0.77454,0.85114,0.52396,1.3037,0.84668,1.28614,0.007822,0.007822,0.007822
68,4190.72,1.31981,0.98765,1.31797,0.8555,0.7873,0.85367,0.52987,1.29177,0.83744,1.30122,0.007789,0.007789,0.007789
69,4243.85,1.33715,0.98847,1.33121,0.86545,0.78242,0.85482,0.5305,1.30243,0.85457,1.2976,0.007756,0.007756,0.007756
70,4296.79,1.31844,0.95814,1.31381,0.87381,0.80044,0.87207,0.54359,1.27996,0.83147,1.28763,0.007723,0.007723,0.007723
71,4348.44,1.32024,0.96362,1.31266,0.88627,0.79848,0.87404,0.55041,1.26139,0.81456,1.2776,0.00769,0.00769,0.00769
72,4400.34,1.30633,0.95885,1.31366,0.8667,0.79673,0.86592,0.53547,1.27449,0.82689,1.28871,0.007657,0.007657,0.007657
73,4452.12,1.30842,0.93999,1.30911,0.86873,0.8101,0.87006,0.54194,1.26395,0.81496,1.28211,0.007624,0.007624,0.007624
74,4503.83,1.30404,0.9384,1.29936,0.89031,0.78599,0.87464,0.54998,1.25469,0.80582,1.25934,0.007591,0.007591,0.007591
75,4555.55,1.29825,0.9344,1.3064,0.8865,0.78969,0.8721,0.55233,1.24545,0.80657,1.25746,0.007558,0.007558,0.007558
76,4607.27,1.28774,0.92827,1.29539,0.87811,0.80303,0.87977,0.55087,1.24637,0.78708,1.26088,0.007525,0.007525,0.007525
77,4662.22,1.30598,0.94048,1.30009,0.87281,0.82299,0.87977,0.55342,1.24328,0.78904,1.25454,0.007492,0.007492,0.007492
78,4716.69,1.28132,0.9071,1.27842,0.88928,0.81718,0.87692,0.55399,1.23202,0.77384,1.25362,0.007459,0.007459,0.007459
79,4771.19,1.28971,0.92626,1.29651,0.88494,0.80033,0.87474,0.54569,1.24925,0.79971,1.26389,0.007426,0.007426,0.007426
80,4825.6,1.28216,0.91536,1.27893,0.87858,0.82792,0.88695,0.55962,1.24038,0.77322,1.2519,0.007393,0.007393,0.007393
81,4880.18,1.28958,0.92411,1.28789,0.87264,0.82172,0.88085,0.55765,1.23757,0.77217,1.25063,0.00736,0.00736,0.00736
82,4934.52,1.26715,0.89473,1.27568,0.86628,0.83509,0.88525,0.56272,1.23469,0.7725,1.25327,0.007327,0.007327,0.007327
