epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,2718.12,1.28548,0.92174,1.33564,0.88327,0.83197,0.89433,0.55562,1.27924,0.78288,1.36026,0.007591,0.007591,0.007591
75,2752.84,1.2788,0.91227,1.3412,0.90049,0.8315,0.89367,0.54468,1.29573,0.79244,1.36746,0.007558,0.007558,0.007558
76,2787.45,1.27832,0.90383,1.33225,0.88978,0.84088,0.89644,0.5509,1.27895,0.79691,1.3579,0.007525,0.007525,0.007525
77,2821.9,1.30469,0.92042,1.34498,0.88616,0.83719,0.89209,0.54976,1.27378,0.76935,1.36137,0.007492,0.007492,0.007492
78,2856.49,1.27352,0.8952,1.32094,0.88216,0.83502,0.89172,0.55549,1.26622,0.76802,1.35635,0.007459,0.007459,0.007459
79,2891.09,1.27863,0.90231,1.34332,0.88864,0.83057,0.89381,0.55056,1.2818,0.774,1.36906,0.007426,0.007426,0.007426
80,2925.84,1.26068,0.89701,1.3149,0.89722,0.84035,0.89872,0.55476,1.27047,0.7805,1.35815,0.007393,0.007393,0.007393
81,2960.34,1.27125,0.90472,1.32683,0.8829,0.85492,0.90117,0.56297,1.25842,0.75012,1.34314,0.00736,0.00736,0.00736
82,2997.67,1.25135,0.87091,1.31386,0.88618,0.83723,0.89999,0.565,1.2596,0.74685,1.3506,0.007327,0.007327,0.007327
83,3036.25,1.26557,0.88427,1.3177,0.88457,0.83829,0.89855,0.55999,1.27231,0.75597,1.36889,0.007294,0.007294,0.007294
84,3073.73,1.26964,0.88812,1.31442,0.89823,0.84278,0.89798,0.56389,1.26924,0.74964,1.35623,0.007261,0.007261,0.007261
85,3111.13,1.26078,0.87823,1.32379,0.88552,0.87464,0.91039,0.56886,1.25589,0.7404,1.34821,0.007228,0.007228,0.007228
86,3148.65,1.24192,0.88059,1.31619,0.8933,0.84274,0.90523,0.56747,1.2649,0.73946,1.34935,0.007195,0.007195,0.007195
87,3185.95,1.24947,0.86839,1.31406,0.9,0.83713,0.9025,0.56357,1.26982,0.7406,1.3563,0.007162,0.007162,0.007162
88,3223.41,1.25031,0.86545,1.30692,0.88037,0.86396,0.90734,0.56999,1.25556,0.73199,1.33895,0.007129,0.007129,0.007129
89,3261,1.23241,0.85076,1.2997,0.89937,0.84547,0.90396,0.57056,1.25739,0.72413,1.34566,0.007096,0.007096,0.007096
